Mineral Name (plain),IMA Chemistry,Crystal Systems,Paragenetic Modes
Qandilite,"(Mg,Fe3+)2(Ti,Fe3+,Al)O4","tetragonal, cubic","Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
Qaqarssukite-(Ce),BaCe(CO3)2F,hexagonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites"
Qatranaite,CaZn2(OH)6(H2O)2,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
Qeltite,Ca3TiSi2(Fe3+2Si)O14,hexagonal,"Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
Qilianshanite,NaH4(CO3)(BO3)·2H2O,monoclinic,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Qingheiite,NaNaMn(MgAl)(PO4)3,monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Qingsongite,BN,cubic,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, PM39 - High-P metamorphism"
Qitianlingite,Fe2+2Nb2W6+O10,orthorhombic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Qiumingite,Pb3(Zn2Fe3+)Sb5+P2O14,hexagonal,
Quadratite,AgCdAsS3,tetragonal,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Quadridavyne,"[(Na,K)6Cl2][Ca2Cl2][(Si6Al6O24)]",hexagonal,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Quadruphite,Na6Na2(CaNa)2Na2Ti2Na2Ti2(Si2O7)2(PO4)4O4F2,triclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Quartz,SiO2,hexagonal,"Abiotic, Biotic, Primary, Secondary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates, Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, PM10 - Basalt-hosted zeolite minerals, Stage 3b: Earth's earliest hydrosphere, PM14 - Hot springs & geysers, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM24 - Authigenic minerals in terrestrial sediments, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM43 - Shear-induced minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization"
Quatrandorite,AgPbSb3S6,"monoclinic, orthorhombic","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Queitite,Zn2Pb4(Si2O7)(SiO4)(SO4),monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Quenselite,PbMn3+O2(OH),monoclinic,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
Quenstedtite,Fe3+2(SO4)3·11H2O,triclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Quetzalcoatlite,"Cu2+3Zn6Te6+2O12(OH)6·(Ag,Pb,☐)Cl",hexagonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Quijarroite,Cu6HgPb2Bi4Se12,orthorhombic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Quintinite,Mg4Al2(OH)12(CO3)·3H2O,hexagonal,"Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Qusongite,WC,hexagonal,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, PM39 - High-P metamorphism"
Raadeite,Mg7(PO4)2(OH)8,monoclinic,"Abiotic, Biotic, Secondary; Stage 3b: Earth's earliest hydrosphere, PM13 - Hadean serpentinization, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Rabbittite,Ca3Mg3(UO2)2(CO3)6(OH)4·18H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Rabejacite,Ca2[(UO2)4O4(SO4)2](H2O)8,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Raberite,Tl5Ag4As6SbS15,triclinic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Radekskodaite-(Ce),(CaCe5)(Al4Fe2+)[Si2O7][SiO4]5O(OH)3,monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Radekskodaite-(La),(CaLa5)(Al4Fe2+)[Si2O7][SiO4]5O(OH)3,monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Radhakrishnaite,"PbTe3(Cl,S)2",tetragonal,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Radovanite,Cu2Fe3+[As5+O4][As3+O2(OH)]2·H2O,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Radtkeite,Hg3S2ClI,monoclinic,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), PM33 - Hydrothermal metal deposits, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Radvaniceite,GeS2,monoclinic,"Biotic; Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
Raguinite,TlFeS2,monoclinic,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM33 - Hydrothermal metal deposits"
Raisaite,CuMg[Te6+O4(OH)2]·6H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Raite,Na3Mn2+3Ti0.25(Si8O20)(OH)2·10H2O,monoclinic,"Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Rajite,CuTe4+2O5,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Rakovanite,(NH4)3Na3[V10O28]·12H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Ralphcannonite,AgZn2TlAs2S6,tetragonal,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Ramaccioniite,Cu4[SeO4](OH)6,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Ramanite-(Cs),CsB5O6(OH)4·2H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Ramanite-(Rb),RbB5O6(OH)4·2H2O,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Ramazzoite,[Mg8Cu12(PO4)(CO3)4(OH)24(H2O)20][(H0.33SO4)3(H2O)36],cubic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Rambergite,MnS,hexagonal,"Abiotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites"
Ramdohrite,Pb5.9Fe0.1Mn0.1In0.1Cd0.2Ag2.8Sb10.8S24,"monoclinic, orthorhombic","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Rameauite,K2Ca(UO2)6O6(OH)4·6H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Ramikite-(Y),"Li4(Na,Ca)12(Y,Ca,REE)6Zr6(PO4)12(CO3)4O4[(OH),F]4",triclinic,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Rammelsbergite,NiAs2,orthorhombic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Ramosite,Pb25.7Sn8.3Mn3.4Sb6.4S56.2,monoclinic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Ramsbeckite,Cu15(SO4)4(OH)22·6H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals, PM56 - Slag and smelter minerals"
Ramsdellite,MnO2,orthorhombic,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), PM28 - Photo-alteration, pre-biotic, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Rancieite,"(Ca,Mn2+)0.2(Mn4+,Mn3+)O2·0.6H2O",hexagonal,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering"
Rankachite,"Ca0.5(V4+,V5+)(W6+,Fe3+)2O8(OH)·2H2O","monoclinic, orthorhombic","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Rankamaite,"(Na,K)3(Ta,Nb,Al)11(O,OH)31",orthorhombic,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, PM26 - Hadean detrital minerals"
Rankinite,Ca3Si2O7,monoclinic,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
Ransomite,CuFe3+2(SO4)4·6H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Ranunculite,Al(UO2)(PO3OH)(OH)3·4H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Rapidcreekite,Ca2(SO4)(CO3)·4H2O,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals"
Rappoldite,PbCo2(AsO4)2·2H2O,triclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Raslakite,"Na15Ca3Fe3(Na,Zr)3Zr3(Si,Nb)Si25O73(OH,H2O)3(Cl,OH)",hexagonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Rasmussenite,Ca(C2H3O3)2·3H2O,triclinic,
Raspite,Pb(WO4),monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Rastsvetaevite,"Na27K8Ca12Fe3Zr6Si52O144(OH,O)6Cl2",hexagonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Rasvumite,KFe2S3,orthorhombic,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM20 - Acidic volcanic rocks, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Rathite,Ag2Pb12-xTlx/2As18+x/2S40,monoclinic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Rathite-IV,Pb3As5S10,,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Rauchite,Ni(UO2)2(AsO4)2·10H2O,triclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Rauenthalite,Ca3(AsO4)2·10H2O,triclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Rauvite,Ca(UO2)2V10O28·16H2O,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Ravatite,C14H10,monoclinic,"Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
Raydemarkite,MoO3·H2O,triclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Raygrantite,Pb10Zn(SO4)6(SiO4)2(OH)2,triclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Rayite,"(Ag,Tl)2Pb8Sb8S21",,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Realgar,AsS,monoclinic,"Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM11 - Volcanic fumarole minerals, Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, PM14 - Hot springs & geysers, Stage 4a: Earth's earliest continental crust, PM24 - Authigenic minerals in terrestrial sediments, PM33 - Hydrothermal metal deposits, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
Reaphookhillite,MgZn2(PO4)2·4H2O,triclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Rebulite,Tl5Sb5As8S22,monoclinic,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM33 - Hydrothermal metal deposits"
Reckibachite,Ag2Pb12As14Sb4S40,monoclinic,
Rectorite,"(Na,Ca)Al4(Si,Al)8O20(OH)4·2H2O",,"Abiotic, Biotic, Secondary; Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Redcanyonite,(NH4)2Mn[(UO2)4O4(SO4)2](H2O)4,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins"
Reddingite,Mn2+3(PO4)2·3H2O,orthorhombic,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Redgillite,Cu6(SO4)(OH)10·H2O,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Redingtonite,Fe2+Cr2(SO4)4·22H2O,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals"
Redledgeite,Ba(Ti6Cr3+2)O16,tetragonal,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks"
Redmondite,[Pb8O2Zn(OH)6](S2O3)4,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Redondite,Al(PO4)·2H2O,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Reederite-(Y),"(Na,Mn)15Y2(CO3)9(SO3F)Cl",hexagonal,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Reedmergnerite,NaBSi3O8,triclinic,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM24 - Authigenic minerals in terrestrial sediments, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals"
Reevesite,Ni6Fe3+2(OH)16(CO3)·4H2O,hexagonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Refikite,C20H34O2,orthorhombic,"Biotic, Secondary; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, PM53 - Other minerals with taphonomic origins"
Regerite,KFe6(PO4)4(OH)7(H2O)6·4H2O,monoclinic,
Reichenbachite,Cu5(PO4)2(OH)4,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Reidite,Zr(SiO4),tetragonal,"Abiotic; Stage 4a: Earth's earliest continental crust, PM30 - Terrestrial impact minerals"
Reinerite,Zn3(AsO3)2,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals"
Reinhardbraunsite,Ca5(SiO4)2(OH)2,monoclinic,"Abiotic, Biotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
Relianceite-(K),K4Mg(V4+O)2(C2O4)(PO3OH)4(H2O)10,monoclinic,"Biotic, Secondary; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM52 - Guano- and urine-derived minerals, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Remondite-(Ce),"Na3(Ce,Ca,Na)3(CO3)5",orthorhombic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Remondite-(La),"Na3(La,Ca,Na)3(CO3)5",monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Renardite,Pb(UO2)4(PO4)2(OH)4·7H2O,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Rengeite,Sr4Ti4ZrO8(Si2O7)2,monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Renierite,"(Cu1+,Zn)11Fe4(Ge4+,As5+)2S16",tetragonal,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Reppiaite,Mn2+5(VO4)2(OH)4,monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Retgersite,Ni(SO4)·6H2O,tetragonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Retzian-(Ce),Mn2+2Ce(AsO4)(OH)4,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Retzian-(La),Mn2+2La(AsO4)(OH)4,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Retzian-(Nd),Mn2+2Nd(AsO4)(OH)4,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Revdite,Na16Si16O27(OH)26·28H2O,monoclinic,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Rewitzerite,K(H2O)Mn2(Al2Ti)(PO4)4[O(OH)](H2O)10·4H2O,monoclinic,
Reyerite,Na2Ca14Al2Si22O58(OH)8·6H2O,hexagonal,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
Reynoldsite,Pb2Mn4+2O5(CrO4),triclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Reznitskyite,CaMg(VO4)F,monoclinic,"Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Rhabdoborite-(Mo),Mg12Mo6+1.33O6(BO3)6F2,hexagonal,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Rhabdoborite-(V),"Mg12(V5+,Mo6+,W6+)1.5O6{[BO3]6-x[(P,As)O4]xF2-x} (x < 1)",hexagonal,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Rhabdoborite-(W),"Mg12(W6+,V5+)1.5O6{[BO3]6-x[(P,As)O4]xF2-x} (x < 1)",hexagonal,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Rhabdophane-(Ce),Ce(PO4)·H2O,hexagonal,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks"
Rhabdophane-(La),La(PO4)·H2O,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Rhabdophane-(Nd),Nd(PO4)·H2O,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Rhabdophane-(Y),Y(PO4)·H2O,hexagonal,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks"
Rheniite,ReS2,triclinic,"Abiotic, Primary; Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits"
Rhodarsenide,Rh2As,orthorhombic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations"
Rhodesite,KHCa2Si8O19·5H2O,orthorhombic,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Rhodium,Rh,cubic,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, PM37 - Layered igneous formations, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites"
Rhodizite,KBe4Al4(B11Be)O28,cubic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Rhodochrosite,Mn(CO3),hexagonal,"Abiotic, Biotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, PM23 - Subaerial alteration, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM36 - Carbonatites & kimberlites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization"
Rhodonite,CaMn3Mn(Si5O15),triclinic,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
Rhodostannite,Cu1+(Fe2+0.5Sn4+1.5)S4,tetragonal,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, PM33 - Hydrothermal metal deposits"
Rhodplumsite,Rh3Pb2S2,hexagonal,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, PM33 - Hydrothermal metal deposits"
Rhomboclase,(H5O2)Fe3+(SO4)2·2H2O,orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals, PM56 - Slag and smelter minerals"
