name,formula,elements,density,color,crystal,pm_ids,gacha_weight
Aldermanite,[Mg(H2O)6][Na(H2O)2Al3(PO4)2(OH)6]·H2O,"{""Mg"": 1.0, ""H"": 24.0, ""O"": 23.0, ""Na"": 1.0, ""Al"": 3.0, ""P"": 2.0}",582.358,#FFFFFF,monoclinic,"{31,47}",2354.0
Aleksite,PbBi2Te2S2,"{""Pb"": 1.0, ""Bi"": 2.0, ""Te"": 2.0, ""S"": 2.0}",944.48,#708090,hexagonal,{33},797.0
Alexearlite,Hg3(MoO4)S2,"{""Hg"": 3.0, ""Mo"": 1.0, ""O"": 4.0, ""S"": 2.0}",825.836,#FFFFFF,orthorhombic,{},1.0
Alexkhomyakovite,K6(Ca2Na)(CO3)5Cl·6H2O,"{""K"": 6.0, ""Ca"": 2.0, ""Na"": 1.0, ""C"": 5.0, ""O"": 21.0, ""Cl"": 1.0, ""H"": 12.0}",781.314,#FFFFFF,hexagonal,{35},726.0
Alflarsenite,NaCa2Be3Si4O13(OH)·2H2O,"{""Na"": 1.0, ""Ca"": 2.0, ""Be"": 3.0, ""Si"": 4.0, ""O"": 16.0, ""H"": 5.0}",503.5466,#FFFFFF,monoclinic,{19},143.0
Alforsite,Ba5(PO4)3Cl,"{""Ba"": 5.0, ""P"": 3.0, ""O"": 12.0, ""Cl"": 1.0}",1007.01,#FFFFFF,hexagonal,"{26,51}",378.0
Alfredcasparite,Sr2TiO(Si2O7),"{""Sr"": 2.0, ""Ti"": 1.0, ""O"": 8.0, ""Si"": 2.0}",407.269,#FFFFFF,tetragonal,{},1.0
Alfredopetrovite,Al2(Se4+O3)3·6H2O,"{""Al"": 2.0, ""Se"": 3.0, ""O"": 15.0, ""H"": 12.0}",542.958,#FFFFFF,hexagonal,{47},1998.0
Alfredstelznerite,Ca4(H2O)4[B4O4(OH)6]4(H2O)15,"{""Ca"": 4.0, ""H"": 62.0, ""O"": 59.0, ""B"": 16.0}",1339.709,#FFFFFF,orthorhombic,{25},210.0
Alicewilsonite-(YCe),Na2Sr2YCe(CO3)6·3H2O,"{""Na"": 2.0, ""Sr"": 2.0, ""Y"": 1.0, ""Ce"": 1.0, ""C"": 6.0, ""O"": 21.0, ""H"": 6.0}",864.339,#FFFFFF,triclinic,{35},726.0
Alicewilsonite-(YLa),Na2Sr2YLa(CO3)6·3H2O,"{""Na"": 2.0, ""Sr"": 2.0, ""Y"": 1.0, ""La"": 1.0, ""C"": 6.0, ""O"": 21.0, ""H"": 6.0}",863.129,#FFFFFF,triclinic,{35},726.0
Allanite-(Ce),CaCe(Al2Fe2+)[Si2O7][SiO4]O(OH),"{""Ca"": 1.0, ""Ce"": 1.0, ""Al"": 2.0, ""Fe"": 1.0, ""Si"": 3.0, ""O"": 13.0, ""H"": 1.0}",583.257,#556B2F,monoclinic,"{8,19,26,31,34,35,36,40}",2742.0
Allanite-(La),CaLa(Al2Fe2+)[Si2O7][SiO4]O(OH),"{""Ca"": 1.0, ""La"": 1.0, ""Al"": 2.0, ""Fe"": 1.0, ""Si"": 3.0, ""O"": 13.0, ""H"": 1.0}",582.047,#556B2F,monoclinic,"{8,19,35}",962.0
Allanite-(Nd),CaNd(Al2Fe2+)[Si2O7][SiO4]O(OH),"{""Ca"": 1.0, ""Nd"": 1.0, ""Al"": 2.0, ""Fe"": 1.0, ""Si"": 3.0, ""O"": 13.0, ""H"": 1.0}",587.377,#556B2F,monoclinic,{8},93.0
Allanite-(Sm),CaSm(Al2Fe2+)(Si2O7)(SiO4)O(OH),"{""Ca"": 1.0, ""Sm"": 1.0, ""Al"": 2.0, ""Fe"": 1.0, ""Si"": 3.0, ""O"": 13.0, ""H"": 1.0}",593.497,#556B2F,monoclinic,{},1.0
Allanite-(Y),CaY(Al2Fe2+)(Si2O7)(SiO4)O(OH),"{""Ca"": 1.0, ""Y"": 1.0, ""Al"": 2.0, ""Fe"": 1.0, ""Si"": 3.0, ""O"": 13.0, ""H"": 1.0}",532.043,#556B2F,monoclinic,"{8,19,34,35}",1526.0
Allanpringite,Fe3+3(PO4)2(OH)3·5H2O,"{""Fe"": 3.0, ""P"": 2.0, ""O"": 16.0, ""H"": 13.0}",498.571,#556B2F,monoclinic,{47},1998.0
Allantoin,C4H6N4O3,"{""C"": 4.0, ""H"": 6.0, ""N"": 4.0, ""O"": 3.0}",158.117,#FFFFFF,monoclinic,{52},72.0
Allendeite,Sc4Zr3O12,"{""Sc"": 4.0, ""Zr"": 3.0, ""O"": 12.0}",645.484,#FFFFFF,hexagonal,{3},48.0
Allochalcoselite,Cu1+Cu2+5PbO2(SeO3)2Cl5,"{""Cu"": 6.0, ""Pb"": 1.0, ""O"": 8.0, ""Se"": 2.0, ""Cl"": 5.0}",1051.66,#FFFFFF,monoclinic,{45},424.0
Alloclasite,CoAsS,"{""Co"": 1.0, ""As"": 1.0, ""S"": 1.0}",165.915,#FFD700,monoclinic,"{23,33}",1195.0
Almandine,Fe2+3Al2(SiO4)3,"{""Fe"": 3.0, ""Al"": 2.0, ""Si"": 3.0, ""O"": 12.0}",497.742,#556B2F,cubic,"{8,19,26,36,38,40}",1204.0
Alpersite,Mg(SO4)·7H2O,"{""Mg"": 1.0, ""S"": 1.0, ""O"": 11.0, ""H"": 14.0}",246.466,#FFFFFF,monoclinic,"{45,47,55}",2686.0
Alstonite,BaCa(CO3)2,"{""Ba"": 1.0, ""Ca"": 1.0, ""C"": 2.0, ""O"": 6.0}",297.424,#FFFFFF,hexagonal,"{23,32,36}",1101.0
Altaite,PbTe,"{""Pb"": 1.0, ""Te"": 1.0}",334.8,#FFFFFF,cubic,"{6,33}",1002.0
Althupite,AlTh(UO2)7(PO4)4O2(OH)5·15H2O,"{""Al"": 1.0, ""Th"": 1.0, ""U"": 7.0, ""O"": 52.0, ""P"": 4.0, ""H"": 35.0}",2916.356,#FFFFFF,triclinic,{47},1998.0
Altisite,Na3K6Ti2Al2Si8O26Cl3,"{""Na"": 3.0, ""K"": 6.0, ""Ti"": 2.0, ""Al"": 2.0, ""Si"": 8.0, ""O"": 26.0, ""Cl"": 3.0}",1200.26,#FFFFFF,monoclinic,{35},726.0
Aluminite,Al2(SO4)(OH)4·7H2O,"{""Al"": 2.0, ""S"": 1.0, ""O"": 15.0, ""H"": 18.0}",344.153,#FFFFFF,monoclinic,"{21,45,47,50,54}",3008.0
Aluminium,Al,"{""Al"": 1.0}",26.982,#FFFFFF,cubic,"{8,9,30,36,38}",635.0
Aluminocoquimbite,Al2Fe2(SO4)6(H2O)12·9H2O,"{""Al"": 2.0, ""Fe"": 2.0, ""S"": 6.0, ""O"": 45.0, ""H"": 42.0}",1120.305,#556B2F,hexagonal,"{45,47,55}",2686.0
Aluminomagnesiohulsite,Mg2AlO2(BO3),"{""Mg"": 2.0, ""Al"": 1.0, ""O"": 5.0, ""B"": 1.0}",166.397,#FFFFFF,monoclinic,{23},398.0
Alumino-oxy-rossmanite,Al3Al6(Si5AlO18)(BO3)3(OH)3O,"{""Al"": 10.0, ""Si"": 5.0, ""O"": 31.0, ""B"": 3.0, ""H"": 3.0}",941.668,#FFFFFF,hexagonal,{34},564.0
Aluminopyracmonite,(NH4)3Al(SO4)3,"{""N"": 3.0, ""H"": 12.0, ""Al"": 1.0, ""S"": 3.0, ""O"": 12.0}",369.267,#FFFFFF,hexagonal,"{45,54}",658.0
Aluminosugilite,KNa2Al2Li3Si12O30,"{""K"": 1.0, ""Na"": 2.0, ""Al"": 2.0, ""Li"": 3.0, ""Si"": 12.0, ""O"": 30.0}",976.852,#FFFFFF,hexagonal,"{32,35}",1138.0
Aluminotaipingite-(CeCa),(Ce6Ca3)Al(SiO4)3[SiO3(OH)]4F3,"{""Ce"": 6.0, ""Ca"": 3.0, ""Al"": 1.0, ""Si"": 7.0, ""O"": 28.0, ""H"": 4.0, ""F"": 3.0}",1693.529,#FFFFFF,hexagonal,{},1.0
Alum-(K),KAl(SO4)2·12H2O,"{""K"": 1.0, ""Al"": 1.0, ""S"": 2.0, ""O"": 20.0, ""H"": 24.0}",474.372,#FFFFFF,cubic,"{45,47,50}",2695.0
Alum-(Na),NaAl(SO4)2·12H2O,"{""Na"": 1.0, ""Al"": 1.0, ""S"": 2.0, ""O"": 20.0, ""H"": 24.0}",458.264,#FFFFFF,cubic,"{14,45,47,50,54}",2990.0
Alumoedtollite,K2NaCu5AlO2(AsO4)4,"{""K"": 2.0, ""Na"": 1.0, ""Cu"": 5.0, ""Al"": 1.0, ""O"": 18.0, ""As"": 4.0}",1033.568,#FFFFFF,triclinic,{45},424.0
Alumohydrocalcite,CaAl2(CO3)2(OH)4·4H2O,"{""Ca"": 1.0, ""Al"": 2.0, ""C"": 2.0, ""O"": 14.0, ""H"": 12.0}",354.146,#FFFFFF,triclinic,{47},1998.0
Alumoklyuchevskite,K3Cu2+3AlO2(SO4)4,"{""K"": 3.0, ""Cu"": 3.0, ""Al"": 1.0, ""O"": 18.0, ""S"": 4.0}",751.136,#FFFFFF,monoclinic,{45},424.0
Alumolukrahnite,CaCu2+Al(AsO4)2(OH)(H2O),"{""Ca"": 1.0, ""Cu"": 1.0, ""Al"": 1.0, ""As"": 2.0, ""O"": 10.0, ""H"": 3.0}",443.464,#FFFFFF,triclinic,{},1.0
Alumotantite,AlTaO4,"{""Al"": 1.0, ""Ta"": 1.0, ""O"": 4.0}",271.928,#FFFFFF,orthorhombic,{34},564.0
Alumovesuvianite,Ca19Al(Al10Mg2)Si18O69(OH)9,"{""Ca"": 19.0, ""Al"": 11.0, ""Mg"": 2.0, ""Si"": 18.0, ""O"": 78.0, ""H"": 9.0}",2869.418,#FFFFFF,tetragonal,"{7,38}",231.0
Alunite,KAl3(SO4)2(OH)6,"{""K"": 1.0, ""Al"": 3.0, ""S"": 2.0, ""O"": 14.0, ""H"": 6.0}",414.198,#FFFFFF,hexagonal,"{45,46,47,50,54}",2981.0
Alunogen,Al2(SO4)3(H2O)12·5H2O,"{""Al"": 2.0, ""S"": 3.0, ""O"": 29.0, ""H"": 34.0}",648.387,#FFFFFF,triclinic,"{45,47,50,54,55}",3193.0
Alvesite,NaKZrSi6O15·2H2O,"{""Na"": 1.0, ""K"": 1.0, ""Zr"": 1.0, ""Si"": 6.0, ""O"": 17.0, ""H"": 4.0}",597.837,#FFFFFF,orthorhombic,{},1.0
Alwilkinsite-(Y),Y(UO2)3(SO4)2O(OH)3(H2O)7·7H2O,"{""Y"": 1.0, ""U"": 3.0, ""O"": 32.0, ""S"": 2.0, ""H"": 31.0}",1410.332,#FFFFFF,orthorhombic,"{47,55}",2262.0
Amakinite,Fe(OH)2,"{""Fe"": 1.0, ""O"": 2.0, ""H"": 2.0}",89.859,#8B4513,hexagonal,{6},205.0
Amarantite,Fe3+2O(SO4)2·7H2O,"{""Fe"": 2.0, ""O"": 16.0, ""S"": 2.0, ""H"": 14.0}",445.906,#556B2F,triclinic,{47},1998.0
Amarillite,NaFe3+(SO4)2·6H2O,"{""Na"": 1.0, ""Fe"": 1.0, ""S"": 2.0, ""O"": 14.0, ""H"": 12.0}",379.037,#556B2F,monoclinic,{47},1998.0
