name,formula,elements,density,color,crystal
Ferroskutterudite,FeAs3,"{""Fe"": 1.0, ""As"": 3.0}",280.611,#8B4513,cubic
Ferrostalderite,CuFe2TlAs2S6,"{""Cu"": 1.0, ""Fe"": 2.0, ""Tl"": 1.0, ""As"": 2.0, ""S"": 6.0}",721.82,#DAA520,tetragonal
Ferrostrunzite,Fe2+Fe3+2(PO4)2(OH)2·6H2O,"{""Fe"": 3.0, ""P"": 2.0, ""O"": 16.0, ""H"": 14.0}",499.579,#556B2F,triclinic
Ferrotaaffeite-6N3S,BeFe2+2Al6O12,"{""Be"": 1.0, ""Fe"": 2.0, ""Al"": 6.0, ""O"": 12.0}",474.5822,#556B2F,hexagonal
Ferro-taramite,Na(NaCa)(Fe2+3Al2)(Si6Al2)O22(OH)2,"{""Na"": 2.0, ""Ca"": 1.0, ""Fe"": 3.0, ""Al"": 4.0, ""Si"": 6.0, ""O"": 24.0, ""H"": 2.0}",916.023,#556B2F,monoclinic
Ferrotitanowodginite,Fe2+TiTa2O8,"{""Fe"": 1.0, ""Ti"": 1.0, ""Ta"": 2.0, ""O"": 8.0}",593.604,#556B2F,monoclinic
Ferrotorryweiserite,Rh5Fe10S16,"{""Rh"": 5.0, ""Fe"": 10.0, ""S"": 16.0}",1585.96,#DAA520,hexagonal
Ferrotychite,Na6Fe2+2(CO3)4(SO4),"{""Na"": 6.0, ""Fe"": 2.0, ""C"": 4.0, ""O"": 16.0, ""S"": 1.0}",585.718,#556B2F,cubic
Ferrovorontsovite,(Fe5Cu)TlAs4S12,"{""Fe"": 5.0, ""Cu"": 1.0, ""Tl"": 1.0, ""As"": 4.0, ""S"": 12.0}",1231.559,#DAA520,cubic
Ferrowyllieite,NaNaFe2+(Fe2+Al)(PO4)3,"{""Na"": 2.0, ""Fe"": 2.0, ""Al"": 1.0, ""P"": 3.0, ""O"": 12.0}",469.562,#556B2F,monoclinic
Ferruccite,NaBF4,"{""Na"": 1.0, ""B"": 1.0, ""F"": 4.0}",109.792,#FFFFFF,orthorhombic
Fersmite,CaNb2O6,"{""Ca"": 1.0, ""Nb"": 2.0, ""O"": 6.0}",321.884,#FFFFFF,orthorhombic
Feruvite,CaFe2+3(Al5Mg)(Si6O18)(BO3)3(OH)3(OH),"{""Ca"": 1.0, ""Fe"": 3.0, ""Al"": 5.0, ""Mg"": 1.0, ""Si"": 6.0, ""O"": 31.0, ""B"": 3.0, ""H"": 4.0}",1067.769,#556B2F,hexagonal
Fervanite,Fe3+4V5+4O16·5H2O,"{""Fe"": 4.0, ""V"": 4.0, ""O"": 21.0, ""H"": 10.0}",773.207,#556B2F,
Fettelite,[Ag6As2S7][Ag10HgAs2S8],"{""Ag"": 16.0, ""As"": 4.0, ""S"": 15.0, ""Hg"": 1.0}",2707.098,#FFD700,hexagonal
Fibroferrite,Fe3+(SO4)(OH)·5H2O,"{""Fe"": 1.0, ""S"": 1.0, ""O"": 10.0, ""H"": 11.0}",258.983,#556B2F,hexagonal
Fichtelite,C19H34,"{""C"": 19.0, ""H"": 34.0}",262.481,#FFFFFF,monoclinic
Fiedlerite,Pb3Cl4F(OH)·H2O,"{""Pb"": 3.0, ""Cl"": 4.0, ""F"": 1.0, ""O"": 2.0, ""H"": 3.0}",817.42,#FFFFFF,monoclinic
Fiemmeite,Cu2(C2O4)(OH)2·2H2O,"{""Cu"": 2.0, ""C"": 2.0, ""O"": 8.0, ""H"": 6.0}",285.154,#FFFFFF,monoclinic
Finchite,Sr(UO2)2(V2O8)·5H2O,"{""Sr"": 1.0, ""U"": 2.0, ""O"": 17.0, ""V"": 2.0, ""H"": 10.0}",947.627,#FFFFFF,orthorhombic
Finescreekite,[Pb4(OH)4](S2O3)2,"{""Pb"": 4.0, ""O"": 10.0, ""H"": 4.0, ""S"": 4.0}",1121.062,#FFFFFF,orthorhombic
Fingerite,Cu11O2(VO4)6,"{""Cu"": 11.0, ""O"": 26.0, ""V"": 6.0}",1420.632,#00BFFF,triclinic
Finnemanite,Pb5(As3+O3)3Cl,"{""Pb"": 5.0, ""As"": 3.0, ""O"": 9.0, ""Cl"": 1.0}",1440.207,#FFFFFF,hexagonal
Fischesserite,Ag3AuSe2,"{""Ag"": 3.0, ""Au"": 1.0, ""Se"": 2.0}",678.522,#FFD700,cubic
Fizelyite,Ag5Pb14Sb21S48,"{""Ag"": 5.0, ""Pb"": 14.0, ""Sb"": 21.0, ""S"": 48.0}",7535.99,#708090,monoclinic
Flaggite,Pb4Cu2+4Te6+2(SO4)2O11(OH)2(H2O),"{""Pb"": 4.0, ""Cu"": 4.0, ""Te"": 2.0, ""S"": 2.0, ""O"": 22.0, ""H"": 4.0}",1758.314,#FFFFFF,triclinic
Flagstaffite,C10H22O3,"{""C"": 10.0, ""H"": 22.0, ""O"": 3.0}",190.283,#FFFFFF,orthorhombic
Fleetite,Cu2RhIrSb2,"{""Cu"": 2.0, ""Rh"": 1.0, ""Ir"": 1.0, ""Sb"": 2.0}",665.742,#FFFFFF,cubic
Fleischerite,Pb3Ge(SO4)2(OH)6·3H2O,"{""Pb"": 3.0, ""Ge"": 1.0, ""S"": 2.0, ""O"": 17.0, ""H"": 12.0}",1042.429,#FFFFFF,hexagonal
Fleisstalite,Fe2+(SO3)·3H2O,"{""Fe"": 1.0, ""S"": 1.0, ""O"": 6.0, ""H"": 6.0}",189.947,#556B2F,orthorhombic
Fletcherite,CuNi2S4,"{""Cu"": 1.0, ""Ni"": 2.0, ""S"": 4.0}",309.172,#A9A9A9,cubic
Florencite-(Ce),CeAl3(PO4)2(OH)6,"{""Ce"": 1.0, ""Al"": 3.0, ""P"": 2.0, ""O"": 14.0, ""H"": 6.0}",513.048,#FFFFFF,hexagonal
Florencite-(La),LaAl3(PO4)2(OH)6,"{""La"": 1.0, ""Al"": 3.0, ""P"": 2.0, ""O"": 14.0, ""H"": 6.0}",511.838,#FFFFFF,
Florencite-(Nd),NdAl3(PO4)2(OH)6,"{""Nd"": 1.0, ""Al"": 3.0, ""P"": 2.0, ""O"": 14.0, ""H"": 6.0}",517.168,#FFFFFF,hexagonal
Florencite-(Sm),SmAl3(PO4)2(OH)6,"{""Sm"": 1.0, ""Al"": 3.0, ""P"": 2.0, ""O"": 14.0, ""H"": 6.0}",523.288,#FFFFFF,hexagonal
