name,formula,elements,density,color,crystal_system,dna
Stunorthropite,(NH4)4[Mo2O6(MoO4)2],"{""N"": 4.0, ""H"": 16.0, ""Mo"": 4.0, ""O"": 14.0}",679.97,#FFFFFF,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Suanite,Mg2B2O5,"{""Mg"": 2.0, ""B"": 2.0, ""O"": 5.0}",150.24,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Sudburyite,PdSb,"{""Pd"": 1.0, ""Sb"": 1.0}",228.18,#A9A9A9,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Sudoite,Mg2Al3(Si3Al)O10(OH)8,"{""Mg"": 2.0, ""Al"": 4.0, ""Si"": 3.0, ""O"": 18.0, ""H"": 8.0}",536.87,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Sudovikovite,PtSe2,"{""Pt"": 1.0, ""Se"": 2.0}",353.0,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Suessite,Fe3Si,"{""Fe"": 3.0, ""Si"": 1.0}",195.64,#8B4513,cubic,"{""system"": ""cubic"", ""scale"": [1.0, 1.0, 1.0], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Sugarwhiteite,Pb2Te5O12,"{""Pb"": 2.0, ""Te"": 5.0, ""O"": 12.0}",1244.4,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Sugilite,KNa2Fe3+2(Li3Si12)O30,"{""K"": 1.0, ""Na"": 2.0, ""Fe"": 2.0, ""Li"": 3.0, ""Si"": 12.0, ""O"": 30.0}",1034.68,#556B2F,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Suhailite,(NH4)Fe2+3(Si3Al)O10(OH)2,"{""N"": 1.0, ""H"": 6.0, ""Fe"": 3.0, ""Si"": 3.0, ""Al"": 1.0, ""O"": 12.0}",490.86,#556B2F,,"{""system"": """", ""scale"": [1.0, 1.0, 1.0], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Sulfhydrylbystrite,Na5K2Ca[Al6Si6O24](S5)2-(SH)-,"{""Na"": 5.0, ""K"": 2.0, ""Ca"": 1.0, ""Al"": 6.0, ""Si"": 6.0, ""O"": 24.0, ""S"": 6.0, ""H"": 1.0}",1141.02,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Sulphohalite,Na6(SO4)2ClF,"{""Na"": 6.0, ""S"": 2.0, ""O"": 8.0, ""Cl"": 1.0, ""F"": 1.0}",384.51,#FFFFFF,cubic,"{""system"": ""cubic"", ""scale"": [1.0, 1.0, 1.0], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.0}}"
Sulphotsumoite,Bi3Te2S,"{""Bi"": 3.0, ""Te"": 2.0, ""S"": 1.0}",914.2,#A9A9A9,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Sulphur,S,"{""S"": 1.0}",32.06,#A9A9A9,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Sulvanite,Cu3VS4,"{""Cu"": 3.0, ""V"": 1.0, ""S"": 4.0}",369.83,#A9A9A9,cubic,"{""system"": ""cubic"", ""scale"": [1.0, 1.0, 1.0], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Sundiusite,Pb10(SO4)O8Cl2,"{""Pb"": 10.0, ""S"": 1.0, ""O"": 12.0, ""Cl"": 2.0}",2366.96,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Sunshuite,FeBi2S4,"{""Fe"": 1.0, ""Bi"": 2.0, ""S"": 4.0}",602.05,#DAA520,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Suolunite,Ca2Si2O5(OH)2·H2O,"{""Ca"": 2.0, ""Si"": 2.0, ""O"": 8.0, ""H"": 4.0}",268.37,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Surinamite,Mg3Al3O(Si3BeAlO15),"{""Mg"": 3.0, ""Al"": 4.0, ""O"": 16.0, ""Si"": 3.0, ""Be"": 1.0}",530.13,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Susannite,Pb4(SO4)(CO3)2(OH)2,"{""Pb"": 4.0, ""S"": 1.0, ""O"": 12.0, ""C"": 2.0, ""H"": 2.0}",1078.9,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Suzukiite,BaV4+Si2O7,"{""Ba"": 1.0, ""V"": 1.0, ""Si"": 2.0, ""O"": 7.0}",356.45,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Svabite,Ca5(AsO4)3F,"{""Ca"": 5.0, ""As"": 3.0, ""O"": 12.0, ""F"": 1.0}",636.16,#FFFFFF,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Svanbergite,SrAl3(SO4)(PO4)(OH)6,"{""Sr"": 1.0, ""Al"": 3.0, ""S"": 1.0, ""O"": 14.0, ""P"": 1.0, ""H"": 6.0}",461.64,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Sveinbergeite,(H2O)2[Ca(H2O)](Fe2+6Fe3+)Ti2(Si4O12)2O2(OH)4[(OH)(H2O)],"{""H"": 13.0, ""O"": 35.0, ""Ca"": 1.0, ""Fe"": 7.0, ""Ti"": 2.0, ""Si"": 8.0}",1324.59,#556B2F,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Sveite,KAl7(NO3)4(OH)16Cl2·8H2O,"{""K"": 1.0, ""Al"": 7.0, ""N"": 4.0, ""O"": 36.0, ""H"": 32.0, ""Cl"": 2.0}",963.16,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Svenekite,Ca[AsO2(OH)2]2,"{""Ca"": 1.0, ""As"": 2.0, ""O"": 8.0, ""H"": 4.0}",321.95,#FFFFFF,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Svornostite-(K),K2Mg[(UO2)(SO4)2]2·8H2O,"{""K"": 2.0, ""Mg"": 1.0, ""U"": 2.0, ""O"": 28.0, ""S"": 4.0, ""H"": 16.0}",1170.94,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Svornostite-(NH4),(NH4)2Mg(UO2)2(SO4)4(H2O)8,"{""N"": 2.0, ""H"": 24.0, ""Mg"": 1.0, ""U"": 2.0, ""O"": 28.0, ""S"": 4.0}",1128.82,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Svyatoslavite,Ca(Al2Si2O8),"{""Ca"": 1.0, ""Al"": 2.0, ""Si"": 2.0, ""O"": 8.0}",278.22,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Svyazhinite,MgAl(SO4)2F·14H2O,"{""Mg"": 1.0, ""Al"": 1.0, ""S"": 2.0, ""O"": 22.0, ""F"": 1.0, ""H"": 28.0}",514.63,#FFFFFF,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Swaknoite,(NH4)2Ca(PO3OH)2·H2O,"{""N"": 2.0, ""H"": 12.0, ""Ca"": 1.0, ""P"": 2.0, ""O"": 9.0}",286.14,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Swartzite,CaMg(UO2)(CO3)3·12H2O,"{""Ca"": 1.0, ""Mg"": 1.0, ""U"": 1.0, ""O"": 23.0, ""C"": 3.0, ""H"": 24.0}",730.64,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Swedenborgite,NaBe4Sb5+O7,"{""Na"": 1.0, ""Be"": 4.0, ""Sb"": 1.0, ""O"": 7.0}",292.79,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Sylvanite,AgAuTe4,"{""Ag"": 1.0, ""Au"": 1.0, ""Te"": 4.0}",815.24,#FFD700,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Sylvite,KCl,"{""K"": 1.0, ""Cl"": 1.0}",74.55,#FFFFFF,cubic,"{""system"": ""cubic"", ""scale"": [1.0, 1.0, 1.0], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.0}}"
Symesite,Pb10(SO4)O7Cl4·H2O,"{""Pb"": 10.0, ""S"": 1.0, ""O"": 12.0, ""Cl"": 4.0, ""H"": 2.0}",2439.88,#FFFFFF,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Symplesite,Fe2+3(AsO4)2·8H2O,"{""Fe"": 3.0, ""As"": 2.0, ""O"": 16.0, ""H"": 16.0}",589.52,#556B2F,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Synchysite-(Ce),CaCe(CO3)2F,"{""Ca"": 1.0, ""Ce"": 1.0, ""C"": 2.0, ""O"": 6.0, ""F"": 1.0}",319.22,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Synchysite-(Nd),CaNd(CO3)2F,"{""Ca"": 1.0, ""Nd"": 1.0, ""C"": 2.0, ""O"": 6.0, ""F"": 1.0}",323.34,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Synchysite-(Y),CaY(CO3)2F,"{""Ca"": 1.0, ""Y"": 1.0, ""C"": 2.0, ""O"": 6.0, ""F"": 1.0}",268.01,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Syngenite,K2Ca(SO4)2·H2O,"{""K"": 2.0, ""Ca"": 1.0, ""S"": 2.0, ""O"": 9.0, ""H"": 2.0}",328.42,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Szaibelyite,MgBO2(OH),"{""Mg"": 1.0, ""B"": 1.0, ""O"": 3.0, ""H"": 1.0}",84.13,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Szenicsite,Cu3(MoO4)(OH)4,"{""Cu"": 3.0, ""Mo"": 1.0, ""O"": 8.0, ""H"": 4.0}",418.63,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
